Latitude,Longitude,label,sample_type,source,avg_annual_rainfall_mm,rainfall_source,elevation_m,slope_degrees,terrain_source,clay_g_per_kg,sand_g_per_kg,silt_g_per_kg,clay_percent,sand_percent,silt_percent,soil_texture_class,soil_source
23.476989,93.377213,1,known_landslide,GSI field-validated inventory,1719.96630859375,NASA IMERG Final V07B Grand Climatology (2000-06 to 2023-05),1394.0,30.918724897494556,NASA SRTMGL1 V003 (~30 m),348.0,254.0,398.0,34.8,25.4,39.8,loam,ISRIC SoilGrids 0-5 cm mean
23.387748658444707,92.9029505228362,0,background_candidate,sampled background candidate,2272.594482421875,NASA IMERG Final V07B Grand Climatology (2000-06 to 2023-05),759.0,27.026407944822036,NASA SRTMGL1 V003 (~30 m),302.0,273.0,425.0,30.2,27.3,42.5,silty_clay_loam,ISRIC SoilGrids 0-5 cm mean
23.832916,93.301888,1,known_landslide,GSI field-validated inventory,1855.9034423828125,NASA IMERG Final V07B Grand Climatology (2000-06 to 2023-05),1237.0,25.775412887137914,NASA SRTMGL1 V003 (~30 m),355.0,262.0,383.0,35.5,26.2,38.3,clay_loam,ISRIC SoilGrids 0-5 cm mean
23.73472222,92.83055556,1,known_landslide,GSI field-validated inventory,2406.4970703125,NASA IMERG Final V07B Grand Climatology (2000-06 to 2023-05),584.0,35.17529356792419,NASA SRTMGL1 V003 (~30 m),310.0,272.0,418.0,31.0,27.2,41.8,silty_clay_loam,ISRIC SoilGrids 0-5 cm mean
24.053281693362507,92.46352677523448,0,background_candidate,sampled background candidate,2800.01806640625,NASA IMERG Final V07B Grand Climatology (2000-06 to 2023-05),59.0,18.813196499444206,NASA SRTMGL1 V003 (~30 m),263.0,332.0,405.0,26.3,33.2,40.5,loam,ISRIC SoilGrids 0-5 cm mean
23.36138889,92.77083333,1,known_landslide,GSI field-validated inventory,2479.425537109375,NASA IMERG Final V07B Grand Climatology (2000-06 to 2023-05),1041.0,40.02355475580137,NASA SRTMGL1 V003 (~30 m),302.0,310.0,388.0,30.2,31.0,38.8,loam,ISRIC SoilGrids 0-5 cm mean
24.171459,92.641035,1,known_landslide,GSI field-validated inventory,2821.350830078125,NASA IMERG Final V07B Grand Climatology (2000-06 to 2023-05),140.0,6.087972918714766,NASA SRTMGL1 V003 (~30 m),268.0,360.0,372.0,26.8,36.0,37.2,loam,ISRIC SoilGrids 0-5 cm mean
22.811243547178247,92.5610870596626,0,background_candidate,sampled background candidate,2733.4912109375,NASA IMERG Final V07B Grand Climatology (2000-06 to 2023-05),135.0,24.321677264093186,NASA SRTMGL1 V003 (~30 m),275.0,334.0,391.0,27.5,33.4,39.1,loam,ISRIC SoilGrids 0-5 cm mean
23.038879,92.773703,1,known_landslide,GSI field-validated inventory,2565.613037109375,NASA IMERG Final V07B Grand Climatology (2000-06 to 2023-05),1120.0,23.71040268222633,NASA SRTMGL1 V003 (~30 m),323.0,342.0,335.0,32.3,34.2,33.5,loam,ISRIC SoilGrids 0-5 cm mean
23.270548,92.877577,1,known_landslide,GSI field-validated inventory,2424.16357421875,NASA IMERG Final V07B Grand Climatology (2000-06 to 2023-05),1087.0,34.27179207334901,NASA SRTMGL1 V003 (~30 m),295.0,323.0,382.0,29.5,32.3,38.2,loam,ISRIC SoilGrids 0-5 cm mean
